Item,Element,Y2011
Wheat and products,Production,695301
Wheat and products,Import Quantity,178026
Wheat and products,Stock Variation,-15419
Wheat and products,Export Quantity,182899
Wheat and products,Domestic supply quantity,675010
Wheat and products,Feed,140953
Wheat and products,Seed,33007
Wheat and products,Waste,26450
Wheat and products,Processing,6743
Wheat and products,Other uses,21078
Wheat and products,Food,446886
Wheat and products,Food supply quantity (kg/capita/yr),65.26
Wheat and products,Food supply (kcal/capita/day),524
Wheat and products,Protein supply quantity (g/capita/day),15.83
Wheat and products,Fat supply quantity (g/capita/day),2.41
Rice (Milled Equivalent),Production,482313
Rice (Milled Equivalent),Import Quantity,33658
Rice (Milled Equivalent),Stock Variation,-11785
Rice (Milled Equivalent),Export Quantity,38549
Rice (Milled Equivalent),Domestic supply quantity,465636
Rice (Milled Equivalent),Feed,33027
Rice (Milled Equivalent),Seed,11977
Rice (Milled Equivalent),Waste,28055
Rice (Milled Equivalent),Processing,6211
Rice (Milled Equivalent),Other uses,16132
Rice (Milled Equivalent),Food,370313
Rice (Milled Equivalent),Food supply quantity (kg/capita/yr),54.08
Rice (Milled Equivalent),Food supply (kcal/capita/day),545
Rice (Milled Equivalent),Protein supply quantity (g/capita/day),10.25
Rice (Milled Equivalent),Fat supply quantity (g/capita/day),1.51
Barley and products,Production,132130
Barley and products,Import Quantity,33083
Barley and products,Stock Variation,3971
Barley and products,Export Quantity,35089
Barley and products,Domestic supply quantity,134095
Barley and products,Feed,88162
Barley and products,Seed,8483
Barley and products,Waste,4211
Barley and products,Processing,25878
Barley and products,Other uses,621
Barley and products,Food,6745
Barley and products,Food supply quantity (kg/capita/yr),0.98
Barley and products,Food supply (kcal/capita/day),7
Barley and products,Protein supply quantity (g/capita/day),0.2
Barley and products,Fat supply quantity (g/capita/day),0.03
Maize and products,Production,886013
Maize and products,Import Quantity,111129
Maize and products,Stock Variation,-5277
Maize and products,Export Quantity,114696
Maize and products,Domestic supply quantity,877169
Maize and products,Feed,485085
Maize and products,Seed,6361
Maize and products,Waste,34981
Maize and products,Processing,44877
Maize and products,Other uses,185397
Maize and products,Food,120470
Maize and products,Food supply quantity (kg/capita/yr),17.59
Maize and products,Food supply (kcal/capita/day),145
Maize and products,Protein supply quantity (g/capita/day),3.51
Maize and products,Fat supply quantity (g/capita/day),1.24
Rye and products,Production,13029
Rye and products,Import Quantity,1500
Rye and products,Stock Variation,312
Rye and products,Export Quantity,1553
Rye and products,Domestic supply quantity,13288
Rye and products,Feed,4844
Rye and products,Seed,1276
Rye and products,Waste,493
Rye and products,Processing,947
Rye and products,Other uses,25
Rye and products,Food,5704
Rye and products,Food supply quantity (kg/capita/yr),0.83
Rye and products,Food supply (kcal/capita/day),6
Rye and products,Protein supply quantity (g/capita/day),0.17
Rye and products,Fat supply quantity (g/capita/day),0.03
Oats,Production,22316
Oats,Import Quantity,3963
Oats,Stock Variation,333
Oats,Export Quantity,3824
Oats,Domestic supply quantity,22788
Oats,Feed,15463
Oats,Seed,2628
Oats,Waste,631
Oats,Processing,7
Oats,Other uses,22
Oats,Food,4041
Oats,Food supply quantity (kg/capita/yr),0.59
Oats,Food supply (kcal/capita/day),3
Oats,Protein supply quantity (g/capita/day),0.13
Oats,Fat supply quantity (g/capita/day),0.06
Millet and products,Production,27212
Millet and products,Import Quantity,348
Millet and products,Stock Variation,3234
Millet and products,Export Quantity,385
Millet and products,Domestic supply quantity,30409
Millet and products,Feed,3933
Millet and products,Seed,704
Millet and products,Waste,2131
Millet and products,Processing,416
Millet and products,Other uses,285
Millet and products,Food,22940
Millet and products,Food supply quantity (kg/capita/yr),3.35
Millet and products,Food supply (kcal/capita/day),27
Millet and products,Protein supply quantity (g/capita/day),0.73
Millet and products,Fat supply quantity (g/capita/day),0.28
Sorghum and products,Production,58155
Sorghum and products,Import Quantity,6736
Sorghum and products,Stock Variation,2671
Sorghum and products,Export Quantity,5694
Sorghum and products,Domestic supply quantity,61867
Sorghum and products,Feed,26417
Sorghum and products,Seed,771
Sorghum and products,Waste,3308
Sorghum and products,Processing,4127
Sorghum and products,Other uses,2018
Sorghum and products,Food,25228
Sorghum and products,Food supply quantity (kg/capita/yr),3.68
Sorghum and products,Food supply (kcal/capita/day),31
Sorghum and products,Protein supply quantity (g/capita/day),0.91
Sorghum and products,Fat supply quantity (g/capita/day),0.31
"Cereals, Other",Production,25505
"Cereals, Other",Import Quantity,3315
"Cereals, Other",Stock Variation,83
"Cereals, Other",Export Quantity,2041
"Cereals, Other",Domestic supply quantity,26862
"Cereals, Other",Feed,18230
"Cereals, Other",Seed,1235
"Cereals, Other",Waste,809
"Cereals, Other",Processing,238
"Cereals, Other",Other uses,1347
"Cereals, Other",Food,5449
"Cereals, Other",Food supply quantity (kg/capita/yr),0.8
"Cereals, Other",Food supply (kcal/capita/day),7
"Cereals, Other",Protein supply quantity (g/capita/day),0.18
"Cereals, Other",Fat supply quantity (g/capita/day),0.02
Cassava and products,Production,245592
Cassava and products,Import Quantity,28203
Cassava and products,Stock Variation,-5729
Cassava and products,Export Quantity,27053
Cassava and products,Domestic supply quantity,241013
Cassava and products,Feed,77564
Cassava and products,Seed,0
Cassava and products,Waste,28432
Cassava and products,Processing,1676
Cassava and products,Other uses,32627
Cassava and products,Food,100708
Cassava and products,Food supply quantity (kg/capita/yr),14.71
Cassava and products,Food supply (kcal/capita/day),38
Cassava and products,Protein supply quantity (g/capita/day),0.25
Cassava and products,Fat supply quantity (g/capita/day),0.07
Potatoes and products,Production,373221
Potatoes and products,Import Quantity,29267
Potatoes and products,Stock Variation,1125
Potatoes and products,Export Quantity,28362
Potatoes and products,Domestic supply quantity,375251
Potatoes and products,Feed,49679
Potatoes and products,Seed,32751
Potatoes and products,Waste,33952
Potatoes and products,Processing,13048
Potatoes and products,Other uses,8742
Potatoes and products,Food,237200
Potatoes and products,Food supply quantity (kg/capita/yr),34.64
Potatoes and products,Food supply (kcal/capita/day),64
Potatoes and products,Protein supply quantity (g/capita/day),1.52
Potatoes and products,Fat supply quantity (g/capita/day),0.1
Sweet potatoes,Production,103371
Sweet potatoes,Import Quantity,281
Sweet potatoes,Stock Variation,-1300
Sweet potatoes,Export Quantity,424
Sweet potatoes,Domestic supply quantity,101928
Sweet potatoes,Feed,39899
Sweet potatoes,Seed,528
Sweet potatoes,Waste,6847
Sweet potatoes,Processing,38
Sweet potatoes,Other uses,36
Sweet potatoes,Food,54581
Sweet potatoes,Food supply quantity (kg/capita/yr),7.97
Sweet potatoes,Food supply (kcal/capita/day),21
Sweet potatoes,Protein supply quantity (g/capita/day),0.23
Sweet potatoes,Fat supply quantity (g/capita/day),0.06
Yams,Production,56672
Yams,Import Quantity,59
Yams,Stock Variation,60
Yams,Export Quantity,42
Yams,Domestic supply quantity,56750
Yams,Feed,8249
Yams,Seed,2113
Yams,Waste,6117
Yams,Other uses,11181
Yams,Food,29090
Yams,Food supply quantity (kg/capita/yr),4.25
Yams,Food supply (kcal/capita/day),12
Yams,Protein supply quantity (g/capita/day),0.19
Yams,Fat supply quantity (g/capita/day),0.02
"Roots, Other",Production,17835
"Roots, Other",Import Quantity,635
"Roots, Other",Stock Variation,-12
"Roots, Other",Export Quantity,355
"Roots, Other",Domestic supply quantity,18103
"Roots, Other",Feed,748
"Roots, Other",Seed,127
"Roots, Other",Waste,3089
"Roots, Other",Processing,0
"Roots, Other",Other uses,1002
"Roots, Other",Food,13180
"Roots, Other",Food supply quantity (kg/capita/yr),1.92
"Roots, Other",Food supply (kcal/capita/day),6
"Roots, Other",Protein supply quantity (g/capita/day),0.08
"Roots, Other",Fat supply quantity (g/capita/day),0.01
Sugar cane,Production,1807440
Sugar cane,Import Quantity,48
Sugar cane,Stock Variation,4148
Sugar cane,Export Quantity,21
Sugar cane,Domestic supply quantity,1811614
Sugar cane,Feed,34004
Sugar cane,Seed,28252
Sugar cane,Waste,147446
Sugar cane,Processing,1271216
Sugar cane,Other uses,299429
Sugar cane,Food,31268
Sugar cane,Food supply quantity (kg/capita/yr),4.57
Sugar cane,Food supply (kcal/capita/day),4
Sugar cane,Protein supply quantity (g/capita/day),0.02
